D,G,H,J
Course,, EE- 442, Machine Learning
,,,
,Student Id,,
,442004741,,
,,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Electronics and Communication Engineering,
Course,, EE- 499, Design Project II
,,,
,Student Id,,
,411000941,,
,,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Electronics and Communication Engineering,
Course,, EE- 999, practical training
,,,
,Student Id,,
,411000941,,
